Project name, date added(YYYY-MM-DD), link to YML file
Acorn Sheller,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Acorn%20Sheller.yml
Actually Functional 2 Wafer Dipper for Schott Duran 250 ml beaker,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Actually%20Functional%202%20Wafer%20Dipper%20for%20Schott%20Duran%20250%20ml%20beaker.yml
Adapted thermostatic valve for water pasteurization,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Adapted%20thermostatic%20valve%20for%20water%20pasteurization.yml
Adjustable Bike Mirror,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Adjustable%20Bike%20Mirror.yml
Adjustable Heated Bed,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Adjustable%20Heated%20Bed.yml
Advanced Tent Stake,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Advanced%20Tent%20Stake.yml
Alm Retractor,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Alm%20Retractor.yml
Ankle Brace Night Splint,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ankle%20Brace%20Night%20Splint.yml
Ankle Splint,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ankle%20Splint.yml
Aquaponics System,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Aquaponics%20System.yml
Arctic Cat Snowmobile Choke Lever,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Arctic%20Cat%20Snowmobile%20Choke%20Lever.yml
Athena 24V Round Heated Bed,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Athena%2024V%20Round%20Heated%20Bed.yml
Athena Dual Extrusion Single Hotend,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Athena%20Dual%20Extrusion%20Single%20Hotend.yml
Athena Engraver mod,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Athena%20Engraver%20mod.yml
Athena Heated Print Bed,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Athena%20Heated%20Print%20Bed.yml
Athena II Laser Engraver mod,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Athena%20II%20Laser%20Engraver%20mod.yml
Auto-Clearance Adjustable Triple Hotend Effector,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Auto-Clearance%20Adjustable%20Triple%20Hotend%20Effector.yml
AutoInjector,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-AutoInjector.yml
Automated Plastic GrinderRecycler,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Automated%20Plastic%20GrinderRecycler.yml
Backpack Snap-fit Clips,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Backpack%20Snap-fit%20Clips.yml
Bamboo Joints for house,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bamboo%20Joints%20for%20house.yml
Banana Tree Fibre Female Hygienic Pads,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Banana%20Tree%20Fibre%20Female%20Hygienic%20Pads.yml
Basic Tent Stake,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Basic%20Tent%20Stake.yml
Bee Feeder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bee%20Feeder.yml
Beekeeping Queen Rearing Kit,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Beekeeping%20Queen%20Rearing%20Kit.yml
Bicycle Brake Caliper,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bicycle%20Brake%20Caliper.yml
Bicycle Hub,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bicycle%20Hub.yml
Bike Cargo Rack,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Cargo%20Rack.yml
Bike Chain,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Chain.yml
Bike Chain Guard,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Chain%20Guard.yml
Bike Chain Tensioner,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Chain%20Tensioner.yml
Bike Handlebar Plug,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Handlebar%20Plug.yml
Bike Hub Pelton Turbine,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Hub%20Pelton%20Turbine.yml
Bike Pedals,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Pedals.yml
Bike Thru Axle,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20Thru%20Axle.yml
Bike rack,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bike%20rack.yml
Black Mamba Bike pedal,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Black%20Mamba%20Bike%20pedal.yml
Blind Person's Assistant,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Blind%20Person's%20Assistant.yml
Bottle Cap LED Lighting,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bottle%20Cap%20LED%20Lighting.yml
Bow and Hand Drill Set,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bow%20and%20Hand%20Drill%20Set.yml
Bowfishing Rest,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bowfishing%20Rest.yml
Brake calliper of blackmamba bicycle,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Brake%20calliper%20of%20blackmamba%20bicycle.yml
Bucket Shower,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Bucket%20Shower.yml
Building an inexpensive mosquito net,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Building%20an%20inexpensive%20mosquito%20net.yml
BulbSeed Planter,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-BulbSeed%20Planter.yml
Butterfly Handlebars for bike,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Butterfly%20Handlebars%20for%20bike.yml
CCAT CCATBox,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20CCATBox.yml
CCAT Raised Garden Beds,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20Raised%20Garden%20Beds.yml
CCAT cob protection and beautification,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20cob%20protection%20and%20beautification.yml
CCAT interpretive wind turbine display,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20interpretive%20wind%20turbine%20display.yml
CCAT kid bike power,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20kid%20bike%20power.yml
CCAT kitchen effluent particulate filter,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20kitchen%20effluent%20particulate%20filter.yml
